qst_deliver_message|Доставить послание {s13}
qst_deliver_message_to_enemy_lord|Доставить послание {s13}
qst_raise_troops|Набрать {reg1} {s14}
qst_escort_lady|Сопроводить {s13} в {s14}
qst_deal_with_bandits_at_lords_village|Спасти деревню {s15} от бандитов
qst_collect_taxes|Собрать налоги с {s3}
qst_hunt_down_fugitive|Выследить {s4}
qst_kill_local_merchant|Убить торговца в {s3}
qst_bring_back_runaway_serfs|Вернуть беглых крепостных
qst_follow_spy|Проследить за шпионом до встречи
qst_capture_enemy_hero|Захватить в плен Лорда из {s13}
qst_lend_companion|Одолжить спутника {s3} {s9}
qst_collect_debt|Взыскать долг {s3} перед {s9}
qst_incriminate_loyal_commander|Оклеветать верного командира {s13}, {s16}
qst_meet_spy_in_enemy_town|Встретиться со шпионом в {s13}
qst_capture_prisoners|Привести {reg1} пленников {s3}
qst_lend_surgeon|Одолжить хирурга {s3} {s1}
qst_follow_army|Следовать за армией {s9}
qst_report_to_army|Явиться {s13}, Маршалу
qst_deliver_cattle_to_army|Доставить {reg3} голов скота {s13}
qst_join_siege_with_army|Присоединиться к Осаде {s14}
qst_screen_army|Прикрывать Продвижение Армии {s13}
qst_scout_waypoints|Разведать {s13}, {s14} и {s15}
qst_rescue_lord_by_replace|Спасти {s13} из {s14}
qst_deliver_message_to_prisoner_lord|Доставить Послание {s13} в {s14}
qst_duel_for_lady|Вызвать {s13} на Поединок
qst_duel_courtship_rival|Вызвать {s13} на Поединок (опционально)
qst_duel_avenge_insult|Вызвать {s13} на Поединок
qst_move_cattle_herd|Перегнать Стадо в {s13}
qst_escort_merchant_caravan|Сопроводить Торговый Караван в {s8}
qst_deliver_wine|Доставить {reg5} Ед. {s6} в {s4}
qst_troublesome_bandits|Выследить Докучающих Бандитов
qst_kidnapped_girl|Выкупить Девушку у Бандитов
qst_persuade_lords_to_make_peace|Убедить Лордов Не Препятствовать Миру
qst_deal_with_looters|Разобраться с Марадёрами
qst_deal_with_night_bandits|Разобраться с Ночными Бандитами
qst_deliver_grain|Доставить Пшеницу в {s3}
qst_deliver_cattle|Доставить {reg5} Голов Скота в {s3}
qst_train_peasants_against_bandits|Обучить Крестьян {s13} Против Бандитов
qst_eliminate_bandits_infesting_village|Спасти Деревню {s7} от Бандитов
qst_visit_lady|Навестить Леди
qst_formal_marriage_proposal|Официальное Предложение Брака
qst_obtain_liege_blessing|Официальное Предложение Брака
qst_wed_betrothed|Обвенчаться с Суженой
qst_wed_betrothed_female|Обвенчаться с Суженым
qst_join_faction|Принести Присягу {s1}
qst_rebel_against_kingdom|Помочь {s13} Занять Трон {s14}
qst_consult_with_minister|Проконсультироваться с министром
qst_organize_feast|Организовать пир
qst_resolve_dispute|Уладить спор
qst_offer_gift|Приобрести Подарок
qst_denounce_lord|Обличить Лорда
qst_intrigue_against_lord|Интриговать Против Лорда
qst_track_down_bandits|Выследить Бандитов
qst_track_down_provocateurs|Выследить Провокаторов
qst_retaliate_for_border_incident|Отомстить за Пограничный Инцидент
qst_raid_caravan_to_start_war|Атаковать Нейтральный Караван для Провокации Войны
qst_cause_provocation|Спровоцировать Королевство на атаку
qst_rescue_prisoner|Спасти или выкупить пленника
qst_destroy_bandit_lair|Уничтожить бандитское логово
qst_collect_men|Собрать пятерых
qst_learn_where_merchant_brother_is|Узнать, где держат заложников
qst_save_relative_of_merchant|Атаковать бандитское логово
qst_save_town_from_bandits|Спасти город от бандитов
qst_quests_end|Квесты Конец
