qstr_Next_Page|Следующая страница
qstr_Game_Rules:^|Правила:^
qstr_0|0
qstr_Show_game_rules|Показать правила
qstr_Continue...|Продолжить...
qstr_Candidate_#1:_{s1}|Кандидат №1: {s1}
qstr_Candidate_#2:_{s1}|Кандидат №2: {s1}
qstr_{s3}_of_{s4}_wishes_|{s3} ({s4}) желает выбрать нового вождя и приглашает его вассалов для совещания. {s1} и {s2} - вероятные кандидаты.
qstr_Who_do_you_wish_to_s|Кого вы желаете поддержать?
qstr_{s1}_gives_his_suppo|{s1} поддерживает {s2}.
qstr_Number_of_Supporters|Количество поддерживающих: {reg0}
qstr_{s2}_has_heard_his_v|{s2} услышал своих вассалов. Им выбран {s1} в качестве вождя {s3}.
qstr_Action|Действия
qstr_Mount|Сесть верхом
qstr_Attack_Type|Тип атаки
qstr_Stand_Ground|Стоять
qstr_Charge|В атаку
qstr_Follow_Me|За мной
qstr_Hold_This_Position|Держать позицию
qstr_Spread_Out|Рассыпаться
qstr_Stand_Closer|Сдвинуться
qstr_Fall_Back|Отступить
qstr_Advance|Продвинуться
qstr_Dismount|Спешиться
qstr_Fire_At_Will|Стрелять по готовности
qstr_Hold_Your_Fire|Не стрелять
qstr_Use_Blunt_Weapons|Дробящее оружие
qstr_Use_Any_Weapon|Оружие по желанию
qstr_Ready|В бою
qstr_Wounded|ранено
qstr_Dead|Убито
qstr_Number_of_men_knocke|Количество сбитых: {reg1}
qstr_Number_of_men_left:_|Количество оставшихся: {reg1}
qstr_Opponents_Beaten:_{r|Выведено из строя противников: {reg1}
qstr_Opponents_Remaining:|Противников в строю: {reg1}
qstr_Remain_in_retirement|В покой.
qstr_Go_back_to_the_adven|На поиски приключений.
qstr_You_have_retired_at_|Вы ушли в покой на уровне {reg4} после {reg5}-ти дневных путешествий.
qstr_Effect_on_Score|Влияние на счет
qstr_Settlements_owned_by|Вы владеете поселениями: {reg0}
qstr_Friendly_Settlements|Дружественные поселения: {reg0}
qstr_Hostile_Settlements:|Враждебные поселения: {reg0}
qstr_Friendly_Lords:_{reg|Дружественные лорды: {reg0}
qstr_Enemy_Lords:_{reg0}|Вражеские лорды: {reg0}
qstr_Victories:_{reg0}|Победы: {reg0}
qstr_Defeats:_{reg0}|Поражения: {reg0}
qstr_Quests_Completed:_{r|Выполненные квесты: {reg0}
qstr_Companions_Found:_{r|Привлеченные компаньоны: {reg0}
qstr_Companions_Lost/Depa|Потерянные/ушедшие компаньоны: {reg0}
qstr_Wealth:_{reg0}_cat|Благосостояние: {reg0} кат
qstr_Inventory:_{reg0}_de|Имущество: {reg0} кат
qstr_Renown:_{reg0}|Известность: {reg0}
qstr_Experience:_{reg0}|Опыт: {reg0}
qstr_Days_Passed:_{reg0}|Прошло дней: {reg0}
qstr_Difficulty:_{reg0}%|Сложность: {reg0}%
qstr_TOTAL_SCORE:_{reg0}|Общий счет: {reg0}
qstr_None|никого
qstr_Unassigned|Не назначено
qstr_{s0}|{s0}
qstr_Show_unassigned|Показать неназначенное
qstr_Show_All/None|Показать всё/ничего
qstr_None2|Нет
qstr_OK|OK
qstr_Show_faction:|Показать фракцию:
qstr_Player|Игрок
qstr_Valkuur|Валкур
qstr_Dendaeron|Дендаэрон
qstr_Falgan|Фалган
qstr_Xavaris|Ксаварис
qstr_Arazthor|Аразтор
qstr_Sarzennar|Сарзеннар
qstr_Sarkondar|Саркондар
qstr_Grant_fief_to...|Пожаловать владение...
qstr_Done|Готово
qstr_Help|Помощь
qstr_Selected_lord_has_no|У выбранного лорда нет владений.
qstr_Can_t_grant_capital_|Нельзя пожаловать столицу!
qstr_Unassigned_fief_not_|Неназначенное владение не в вашей фракции!
qstr_{s1}_is_granted_to_{|{s1} пожаловано {s0}.
qstr_Hover_mouse_over_set|Наведите мышь на поселение для просмотра информации. Клик для переключения всех владений владельца.^^Shift+клик для смены цвета.^^Ctrl+клик для назначения владения (только из диалога с министром).^^Автор: Arris Rumi, 2021.
qstr_Feudal_Map|Феодальная карта
qstr_near_{s9}|около {s9}
qstr_{s1}_of_{s3}_was_def|{s1} ({s3}) потерпел поражение в битве но смог сбежать.
qstr_{s54}_is_a_claimant_|{s54} является претендентом на трон {s56}.
qstr_nowhere|нигде
qstr_{s57}_and_{s58}|{s57} и {s58}
qstr_{reg3?She:He}|{reg3?Она:Он}
qstr_The_town_of_{s50}|Город {s50}
qstr_The_village_of_{s50}|Деревня {s50} около {s52}
qstr_{s51}_belongs_to_{s1|{s51}, владельцем является {s1} ({s2}).^
qstr_{s7}_and_{s8}|{s7} и {s8}
qstr_{s2}It_has_no_villag|{s2} не имеет деревень.^
qstr_{s2}{reg0?Its_villag|{s2}{reg0?Деревни:Деревня} {s8}.^
qstr_{s2}Its_prosperity_i|{s2}Достаток: {s50}
qstr_noone|пусто
qstr_{s9}_and_{s10}|{s9} и {s10}
qstr_{s5}_has_been_defeat|{s5} потерпел поражение!
qstr_{s7}_opened_the_gate|{s7} открыл ворота
qstr_{s7}_closed_the_gate|{s7} закрыл ворота
qstr_+{reg1}_to_party_mor|+{reg1} к морали отряда
qstr_Requires_{reg1}_inte|Требует {reg1} интеллекта для прочтения
qstr_Reading_Progress:_{r|Прогресс чтения: {reg1}%
qstr_wound_treament|первой помощи
qstr_trainer|обучению
qstr_surgery|хирургии
qstr_+1_to_{s1}_while_in_|+1 к {s1} пока находится в инвентаре
qstr_Move_here|Перейти
qstr_View_notes|Заметки
qstr_Accompany|Сопровождать
qstr_killed|убито
qstr_wounded|ранено
qstr_{s0}^TOTAL:_{reg3}__|{s0}^Всего: {reg3} ({s2})
qstr_^None|^ничего
qstr_nothing|ничего
qstr_{reg0}_village{reg1?|{reg0} {reg1?деревень:деревня}
qstr_{reg0}_castle{reg1?s|{reg0} {reg1?замков:замок}
qstr_{reg0}_castle{reg1?s:|{reg0} {reg1?замков:замок} и {s0}
qstr_{reg0}_town{reg1?s:}|{reg0} {reg1?городов:город}
qstr_{reg0}_town{reg1?s:}_|{reg0} {reg1?городов:город} и {s0}
qstr_{reg0}_town{reg1?s:}_{|{reg0} {reg1?городов:город}, {s0}
qstr_Your_opponents_are_r|Ваши противники готовы к бою.
qstr_Try_to_destroy_as_ma|Старайтесь уничтожить как можно больше целей. У Вас две с половиной минуты для того, чтобы очистить путь.
qstr_Stay_behind_the_line|Стойте перед чертой и стреляйте по мишеням. Старайтесь не промахиваться.
qstr_Battle_Advantage_=_{|Боевое преимущество = {reg0}.
qstr_{s9}_wants_you_to_re|{s9} хочет, чтобы Вы следовали за его армией до его дальнейших указаний.
qstr_Manta|Манта
qstr_Raider_Manta|Рейдерская Манта
qstr_Corsair_Raider|Корсар-Рейдер
qstr_Frigate|фрегат
qstr_Dreadnaught|дредноут
qstr_Spaceclan_Freighter|Грузовой Корабль Клана
qstr__Being_Raided_|(Под нападением)
qstr__Looted_|(Разграблено)
qstr__Under_Siege_|(В осаде)
qstr_The_village_of_{s1}_|{s2} ограбил деревню {s1}.
qstr_{s3}_is_no_longer_un|{s3} более не находится в осаде.
qstr_Small_bands_of_enemi|Малые отряды врагов замечены около {s1}.
qstr_Enemy_patrols_spotte|Вражеские патрули замечены около {s1}.
qstr_Medium_sized_group_o|Средняя группа врагов замечена около {s1}.
qstr_Significant_group_of|Большая группа врагов замечена около {s1}.
qstr_Army_of_enemies_spot|Вражеская армия замечена около {s1}.
qstr_Large_army_of_enemie|Большая вражеская армия замечена около {s1}.
qstr_Great_host_of_enemie|Гигантская вражеская армия замечена около {s1}.
qstr_{s1}_has_been_besieg|{s1} осаждает {s2} ({s3}).
qstr__{s1}__{s11}:_{s14}|({s1}) {s11}:{s14}
qstr_{s14}__{s21}_|{s14} ({s21})
qstr_{s1}_is_the_new_mars|{s1} стал новым вождём {s2}.
qstr_You_gained_{reg12}_r|Вы получили {reg12} к известности.
qstr_You_lose_{reg12}_ren|Вы потеряли {reg12} известности.
qstr_Your_relation_with_{|Ваши отношения с {s1} улучшились.
qstr_Your_relation_with_{s|Ваши отношения с {s1} ухудшились.
qstr_You_gain_honour.|Ваша честь увеличивается.
qstr_You_lose_honour.|Ваша честь уменьшается.
qstr_{s1}_has_declared_wa|{s1} и {s2} теперь в состоянии войны.
qstr_{s1}_and_{s2}_have_m|{s1} и {s2} заключили мирное соглашение.
qstr_{s2}_{reg3?was:is_cu|{s2} {reg3?{reg4?была:был}:находится} в {s3}.
qstr_{s2}_{reg3?was:is}_t|{s2} {reg3?{reg4?направлялась:направлялся}:направляется} в {s3} и{reg3?: на данный момент} {reg3?{reg4?находилась:находился}:{reg4?должна быть:должен быть}} около {s4}.
qstr_{s2}_{reg3?was:is}_i|{s2} {reg3?{reg4?была:был}:находится} в пути и{reg3?: на данный момент} {reg3?{reg4?находилась:находился}:{reg4?должна быть:должен быть}} около {s3}.
qstr_{s2}_{reg3?was:is}_b|{s2} {reg3?{reg4?была:был}:находится} пленником в {s3}.
qstr_{s2}_{reg3?was:has_b|{s2} {reg3?{reg4?была:был}:находится} в плену у {reg4?ее:его} врагов.
qstr_{reg3?{s2}_s_locatio|{reg3?{s2} находится неизвестно где:Я не знаю, где сейчас {s2}}.
qstr_{s6}_has_joined_your|{s6} присоединяется к Вашему отряду.
qstr_You_now_owe_{reg2}_d|Вы должны {reg2} кат {s1}.
qstr_Renown_value_for_thi|Рейтинг битвы {reg8}.
qstr_You_have_run_into_a_|Вы попали в западню!
qstr_You_are_attacked_by_|Вас атаковала группа разбойников!
qstr_Holding|Держат позицию
qstr_Following|Следуют
qstr_Charging|Атакуют
qstr_Advancing|Продвигаются
qstr_Falling_Back|Отступают
qstr_Standing_Closer|Сдвигаются
qstr_Spreading_Out|Рассыпаются
qstr_Standing|Стоят
qstr_N/A|Н/Д
qstr_Free|Свободно
qstr_Any_Weapon|Любое оружие
qstr_Blunt_Weapons|Дробящее оружие
qstr_{s1}_Rebels|{s1} мятежники
qstr_Given_by:_{s62}|Получено у: {s62}
qstr_Given_on:_{s60}|Получено: {s60}
qstr_You_have_{reg0}_days|У Вас {reg0} дней до истечения срока задания.
qstr_This_quest_has_been_|Это задание выполнено. {s59} ожидает Вас.
qstr_This_quest_has_been_s|Это задание успешно выполнено. {s59} ждет Вас для вручения награды.
qstr_This_quest_has_faile|Это задание провалено. {s59} ждет Ваших объяснений.
qstr_At_the_time_quest_wa|Во время начала задания:^{s1}
qstr_{s5}_has_a_strength_|{s5} располагает армией численностью: {reg1}.
qstr_The_last_time_you_sa|В последний раз, когда Вы {reg1?ее:его} видели, {s1}
qstr_The_last_time_you_he|В последний раз, когда Вы о {reg1?ней:нем} слышали, {s1}
qstr_Current_garrison_con|В настоящий момент гарнизон составляет {reg5} человек.^Запасов еды хватит на {reg6} дней.
qstr_Very_Poor|Очень бедный
qstr_Poor|Бедный
qstr_Average|Средний
qstr_Rich|Богатый
qstr_Very_Rich|Очень богатый
qstr_Manor|Поместье
qstr_A_manor_lets_you_res|Поместье позволяет Вам отдыхать в деревне и плата войскам в это время уменьшается на 50%.
qstr_Mill|Мельница
qstr_A_mill_increases_vil|Мельница увеличивает благосостояние деревни на 5%.
qstr_Watch_Tower|Вышка дозорного
qstr_A_watch_tower_lets_t|Вышка дозорного позволяет жителям деревни раньше поднять тревогу. Время необходимое врагам на грабеж деревни увеличивается на 50%.
qstr_School|Школа
qstr_A_shool_increases_th|Школа увеличивает верность жителей деревни к вам на +1 ежемесячно.
qstr_Messenger_Post|Пост посыльного
qstr_A_messenger_post_let|Пост посыльного позволяет жителям отправить Вам сообщение о находящихся поблизости врагах, даже когда Вы находитесь вдалеке.
qstr_Prison_Tower|Тюрьма
qstr_A_prison_tower_reduc|Тюрьма уменьшает шанс на успешный побег пленников.
qstr_Prosperity_of_{s2}_h|Благосостояние {s2} изменилось с {s3} до {s4}.
qstr_{s4}_looks_upset.|{s4} огорчается.
qstr_your_party|ваш отряд
qstr_{reg0?One_of_your_pr|{reg0?Ваш пленник, :}{s1} ({s3}){reg0?, сбежал: сбегает из плена}!
qstr_You_brought_{reg3}_h|Вы доставили {reg3} голов скота {s1}.
qstr_I_heard_that_there_w|Говорят, что скоро в {s62} будет турнир.
qstr_I_heard_that_one_can|Говорят, что можно дешево купить товар {s62} в {s63}.
qstr_I_heard_that_they_pa|Говорят, что можно дорого продать товар {s62} в {s63}.
qstr_two_days_ago|два дня назад
qstr_Best_threat_of_{s4}_|Самый опасный из {s4} имеет {reg1} уровень
qstr_No_center_found_to_d|Не найдено центра для защиты
qstr_You_gain_right_to_ru|Ваше право на правление увеличивается.
qstr_You_lose_right_to_ru|Ваше право на правление уменьшается.
qstr_Added_money_for_your|Добавлены деньги за вашу старую лошадь
qstr_You_got_keys_of_dung|Вы получаете ключи от темницы.
qstr_You_must_stay_behind|Вы должны стоять ЗА линией! Очки не засчитываются.
qstr_Tutorial|Инструкция
qstr_Calculating_value_of|Подсчет стоимости оригинальных вещей!
qstr_Warning!_{s10}_sight|Внимание! Замечен {s10}!
qstr_You_have_killed_{reg|Вы убили {reg6} из {reg5} {s9}.
qstr_Dust_billows_in_the_|Пыль вздымается на палящих ветрах. Беспощадная пустыня вокруг мерцает маревом. Но где-то в этой неизведанной дали лежат ответы на твои вопросы — и древний враг великой силы.
qstr_Dust_billows_in_the_p|Пыль вздымается на палящих ветрах. Беспощадная пустыня простирается вокруг во все стороны. Остёр ли твой клинок и несокрушима ли воля?
qstr_You_commanded_a_scou|Ты командовал отрядом техохотников, сталкерами забытого наследия, глубоко в Пепельных Землях. Во время экспедиции твои люди наткнулись на древний процессор и были внезапно атакованы роем механических пауков. Спасаясь, ты решил, что остался единственным выжившим.
qstr_You_are_a_Sarkon_nob|Ты — изгой-шек, изгнанный из Королевства. Бежав от своих, ты забрёл в Пепельные Земли. Там, борясь за выживание, ты наткнулся на древние руины. Внутри, наконец отдыхая, ты замечаешь фигуру в странной броне, которой никогда раньше не видел.
qstr_While_patrolling_you|Молясь среди дюн Мёртвых Земель, распевая на ветру с коленями, утопающими в пепле, ты заметил отсвет ржавой стали, полузарытой в руинах, и нашёл странника из-за Пепельных Земель, подобного которому ты никогда не видел.
qstr_Your_raiding_airship|Твой рейдерский отряд попал в засаду самурайского патруля. Бредя по пустошам, ты заметил отсвет древнего металла и нашёл странного выжившего в руинах, подобного которому ты никогда не видел.
qstr_Fleeing_from_a_disas|Спасаясь от бойни безнадёжной войны, в которую ты никогда не верил, ты укрылся в руинах. Там, в тенях, снедаемый виной и собственными ранами, ты обнаружил фигуру в странном костюме — её присутствие и цель были полной загадкой.
qstr_Fleeing_from_the_sla|Спасаясь от шайки работорговцев, безжалостно вырезавших твой караван, ты блуждал по дюнам шесть дней и пять ночей. Когда ты был готов рухнуть, прячась от жары под безымянными руинами, ты заметил фигуру в странном костюме.
qstr_Lt._Gordon_Eric_Cart|Исследователь Халид
qstr_Dr._Leigh_Norton_Moo|Архивариус Кийо
qstr_Sgt._Tara_Morgan|Исследовательница Рин
qstr_The_man_looks_danger|Мужчина выглядит опасным, с острыми рефлексами и настороженностью дикого зверя. Он выхватил огромный нож, едва ты начал приводить его в чувство. Он представляется как Исследователь Халид.
qstr_As_the_woman_wakes_u|Проснувшись, женщина смотрит на тебя испытующим взглядом и пытается заговорить с тобой на нескольких разных языках. Ты не понимаешь ни одного, но некоторые звучат тревожно знакомо. Она представляется как Архивариус Кийо.
qstr_The_woman_eyes_you_s|Женщина подозрительно косится на тебя, пока ты трясёшь её, но произносит что-то на странном языке, похожее на «спасибо». Проходит время, прежде чем вы начинаете понимать друг друга. Она представляется как Исследовательница Рин.
qstr_Looking_around_you_s|Бескрайняя пустошь простирается вокруг, её потрескавшаяся поверхность — свидетельство давно исчезнувшего океана. Солнце выжигает всё вокруг, и ветер шепчет о смерти. Собирая аварийные припасы и оружие из обломков, ты готовишься встретить пустошь.
qstr_You_get_ready_to_lea|Ветер завывает над пустыней, неся с собой слабый запах разложения и обещание опасности. Ты кладёшь руку на рукоять клинка, готовый к чему угодно...
qstr_Back_to_the_beginnin|Вернуться к началу...
qstr_View_next_segment...|Следующий отрывок...
qstr_^No_food:___{reg7}|^Еды нет:  -{reg7}
qstr_^Wage_debt:___{reg6}|^Задолженность:  -{reg6}
qstr_On_loan|Взаймы,
qstr_Appoint_next_marshal|Назначить другого вождя
qstr_Award_{s12}_as_fief|Отдать {s12} во владение
qstr_No_one|Ни одного
qstr_Selected_faction_is:|Выбранная фракция: {s10}^^{s9}
qstr_You_are_currently_re|В настоящий момент Вы читаете {s8}.
qstr_You_are_not_reading_|Вы не читаете никаких книг.
qstr_none|никого
qstr_{s5}_and_{s6}|{s5} и {s6}
qstr_Your_estates_are:_{s|Ваши владения: {s8}.^{s9}
qstr_Current_party_size_l|Текущий предельный размер отряда: {reg5}.^Текущие модификаторы размера отряда:^^Основной размер: +30^Лидерство:{s2}{reg1}^Харизма:{s3}{reg2}^Известность:{s4}{reg3}^ВСЕГО: {reg5}
qstr_Loyal|Верные
qstr_Devoted|Преданные
qstr_Fond|Теплые
qstr_Gracious|Благодарные
qstr_Friendly|Дружелюбные
qstr_Supportive|Поддерживающие
qstr_Favorable|Благоприятные
qstr_Cooperative|Сотрудничающие
qstr_Accepting|Приязненные
qstr_Indifferent|Безразличные
qstr_Suspicious|Подозрительные
qstr_Grumbling|Недовольные
qstr_Hostile|Неприязненные
qstr_Resentful|Возмущенные
qstr_Angry|Сердитые
qstr_Hateful|Ненавидящие
qstr_Revengeful|Мстительные
qstr_Vengeful|Кровожадные
qstr_Your_relation_with_t|Ваши отношения с фракциями:^{s2}
qstr_Player_renown_is_inc|Известность игрока повышена на 100.
qstr_Player_honor_is_incr|Честь игрока повышена на 1 и составляет {reg7}.
qstr_{reg1}_{s1}_{reg2?ac|{reg1} {s1} принима{reg2?е:ю}т предложение.
qstr_No_one_accepts_the_o|Никто не принимает Вашего предложения.
qstr_You_start_reading_{s|Вы начали читать {s2} и после прочтения нескольких страниц поняли, что можете многое узнать из этой книги. Вы решаете держать ее поближе и читать всякий раз как предоставляется возможность.
qstr_You_flip_through_the|Вы просматриваете страницы {s2}, но видите трудный для понимания текст. Упорное чтение вызывает у Вас головную боль и Вы решаете отложить книгу до лучших времен.
qstr_Villagers|Селяне
qstr_You_have_encountered|Ваш противник - {s1}.
qstr_You_have_engaged_{s1|{s1} атакован вами во время их нападения на {s3}.
qstr_You_were_caught_by_{|{s1} прерывает нападение вашего войска на {s3}.
qstr_You_were_victorious!|Вы победили!
qstr_Battle_was_lost._You|Битва проиграна. Ваши войска были полностью разбиты.
qstr_Your_companions_carr|Ваши соратники выносят вас с поля битвы.
qstr_You_have_defeated_th|Вы разбили врага.
qstr_You_have_retreated_f|Вы бежали с поля боя.
qstr_^^Ally_Casualties:{s|^^Потери союзников:{s0}
qstr_{s1}_of_{s3}_managed|{s1} ({s3}) сумел бежать.
qstr_Some_of_your_tendons|Во время боя Вы повредили сухожилие. Ваша сила уменьшилась на 1.
qstr_You_took_a_nasty_wou|Вы получили рану, которая оставит вас слегка хромым даже после исцеления. Вы теряете 1 единицу ловкости.
qstr_You_have_trouble_thi|Ваши мысли путаются после битвы. Возможно, это является следствием сильного удара по голове. Частые головные боли отныне станут Вашим спутником. Ваш интеллект уменьшился на 1 пункт.
qstr_Perhaps_I_m_getting_|Кажется, мне перестало везти...
qstr_Retirement_is_starti|Слово покой" звучит все лучше и лучше."
qstr_No_matter!_I_will_pe|Не важно! Я продолжу!
qstr_What_did_I_do_to_des|Что я сделал, чтобы заслужить подобное?
qstr_I_suppose_it_ll_make|Как минимум, из этого может получиться неплохая история...
qstr_{s9}_wants_you_to_fo|{s9} требует, чтобы Вы следовали за его армией до особого распоряжения.
qstr_{s8}_of_{s9}|{s8} ({s9})
qstr__Your_own_banner_fli|Ваше знамя развивается над воротами замка.
qstr__You_see_the_banner_|По знамени, развивающемся над воротами, вы понимаете, что замком владеет {s7}.
qstr__Your_own_banner_flie|Ваше знамя развивается над воротами города.
qstr__You_see_the_banner_o|По знамени, развивающемся над воротами, вы понимаете, что городом владеет {s7}.
qstr_The_{reg6?town_s:cas|Запасов продуктов в {reg6?городе:замке} хватит по крайней мере еще на {reg3} дней.
qstr_The_{reg6?town_s:cast|Запасы продуктов в {reg6?городе:замке} подошли к концу и защитники голодают.
qstr_You_re_preparing_to_|Вы начинаете подготовку к штурму. Работы будут закончены через {reg9} часов.
qstr_Your_forces_are_buil|Ваши войска приступают к постройке осадной башни. Им потребуется около {reg9} часов для завершения строительства.
qstr_You_are_ready_to_att|Ваши войска готовы к штурму.
qstr_The_siege_tower_is_b|Осадная башня построена и войска готовы к атаке.
qstr_As_a_last_defensive_|Последним оплотом остается главный зал замка, куда вы отступаете с остатками Ваших войск. Вас ждет отчаянная схватка. Если Вы будете побеждены, отступать Вам будет некуда.
qstr_You_ve_been_driven_a|Вас оттеснили со стен и войска атакующих вливаются на улицы. Если победа останется за Вами, Вы сможете повернуть ход событий в свою пользу.
qstr_You_ve_breached_the_|Ваши войска пробились на стены, но упорные защитники продолжают сопротивляться на улицах города! Вашим войскам придется преодолеть их сопротивление, прежде чем атаковать цитадель.
qstr_The_town_centre_is_y|Центр города в Ваших руках. Для окончательной победы ваши войска должны сломить сопротивление последних защитников цитадели.
qstr_The_remaining_defend|Оставшиеся защитники отступили в замок, создав там последний рубеж обороны. Вам необходимо во что бы то ни стало взять его.
qstr_However_since_you_ar|Так как {s9} не принимал Вашей вассальной присяги, то он не признает Вас владельцем этого {reg8?города:замка}.
qstr_The_enemy_has_been_f|Враг обращен в бегство. Атака отбита, но осада продолжается.
qstr_As_you_approach_you_|При Вашем приближении стражники приветствуют Вас и распахивают перед Вами ворота.
qstr_As_you_approach_you_a|Замечая Ваше приближение, стражники приветствуют Вас и распахивают перед Вами ворота.
qstr__This_village_and_th| Эта деревня и прилегающие земли принадлежат Вам.
qstr__You_remember_that_t| Вы вспоминаете, что этой деревней владеет {s7}.
qstr__These_lands_belong_| Эти земли не имеют лорда.
qstr__The_village_is_infe| Деревню наводнили {reg8} {s35}.
qstr__The_village_has_bee| Деревня разграблена. Немногие выжившие разбегаются, когда Вы проезжаете мимо сгоревших домов.
qstr__The_village_is_bein| На деревню совершено нападение.
qstr_No_one_here_seems_to|Желающих присоединиться к Вашему отряду не видно.
qstr_One_{s3}_volunteers_|Один {s3} пожелал следовать за Вами.
qstr_{reg5}_{s3}_voluntee|{reg5} {s3} пожелали последовать за Вами.
